国际,#genre#
凤凰资讯,http://[2409:8087:2001:20:2800:0:df6e:eb19]/ott.mobaibox.com/PLTV/3/224/3221228524/index.m3u8
凤凰中文,http://[2409:8087:2001:20:2800:0:df6e:eb22]/ott.mobaibox.com/PLTV/3/224/3221228527/index.m3u8
凤凰香港,http://[2409:8087:2001:20:2800:0:df6e:eb23]/ott.mobaibox.com/PLTV/3/224/3221228530/index.m3u8
Al Jazeera,https://live-hls-web-aje.getaj.net/AJE/01.m3u8
NHK World,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp-en/index_4M.m3u8
KBS World,https://kbsworld-ott.akamaized.net/hls/live/2002341/kbsworld/01.m3u8

Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Fashion 4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8

CCTV-8K,http://[2409:8087:2001:20:2800:0:df6e:eb03]/ott.mobaibox.com/PLTV/4/224/3221228165/index.m3u8
CCTV-4K,http://[2409:8087:2001:20:2800:0:df6e:eb12]/ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8

X,#genre#
_1s___,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_1s___/playlist.m3u8
_2strangers,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_2strangers/playlist.m3u8
_d_a_s_h_a_,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_d_a_s_h_a_/playlist.m3u8
★_meganmeow_,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_meganmeow_/playlist.m3u8
_octopussy_,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_octopussy_/playlist.m3u8
_passion_show_,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_passion_show_/playlist.m3u8
_witch__,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:_witch__/playlist.m3u8
abby_chuchu,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:abby_chuchu/playlist.m3u8
akino_hen,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:akino_hen/playlist.m3u8
alaiaxox,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:alaiaxox/playlist.m3u8
alexandrasm1th,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:alexandrasm1th/playlist.m3u8
alice_kosmos,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:alice_kosmos/playlist.m3u8
alicepreuoston,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:alicepreuoston/playlist.m3u8
★allayah,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:allayah/playlist.m3u8
amiliyan,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:amiliyan/playlist.m3u8
amirabelle4u,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:amirabelle4u/playlist.m3u8
angel_danm_milf,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:angel_danm_milf/playlist.m3u8
angel_luisa,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:angel_luisa/playlist.m3u8
angelaasia,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:angelaasia/playlist.m3u8
annemanifiquen,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:annemanifique/playlist.m3u8
ashley_benson1,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:ashley_benson1/playlist.m3u8
aura_69,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:aura_69/playlist.m3u8
avabrooks,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:avabrooks/playlist.m3u8
aya_hitakayama,https://edge1-nrt.live.mmcdn.com/live-hls/amlst:aya_hitakayama/playlist.m3u8
